iter	Passed	Remaining
401	16125	23987
402	16172	23958
403	16228	23940
404	16289	23931
405	16331	23893
406	16374	23858
407	16416	23819
408	16458	23782
409	16508	23755
410	16556	23726
411	16607	23702
412	16656	23673
413	16694	23629
414	16734	23590
415	16777	23553
416	16838	23541
417	16894	23523
418	16953	23507
419	17009	23489
420	17058	23459
421	17104	23426
422	17141	23381
423	17178	23336
424	17224	23304
425	17273	23274
426	17335	23263
427	17383	23232
428	17426	23195
429	17471	23159
430	17519	23128
431	17564	23094
432	17606	23055
433	17650	23018
434	17691	22978
435	17736	22943
436	17776	22901
437	17821	22867
438	17865	22830
439	17911	22795
440	17954	22758
441	18010	22737
442	18059	22706
443	18111	22680
444	18163	22653
445	18203	22611
446	18248	22576
447	18302	22551
448	18340	22506
449	18494	22604
450	18535	22562
451	18578	22524
452	18624	22488
453	18666	22448
454	18705	22406
455	18751	22369
456	18799	22337
457	18844	22300
458	18892	22268
459	18951	22247
460	19003	22219
461	19051	22185
462	19098	22151
463	19147	22118
464	19188	22077
465	19224	22030
466	19262	21984
467	19307	21947
468	19344	21902
469	19388	21863
470	19435	21828
471	19481	21792
472	19543	21775
473	19585	21733
474	19624	21689
475	19748	21739
476	19877	21794
477	19987	21827
478	20067	21827
479	20160	21840
480	20224	21821
481	20270	21784
482	20334	21765
483	20393	21742
484	20457	21722
485	20518	21700
486	20580	21679
487	20640	21655
488	20703	21634
489	20760	21607
490	20834	21598
491	20888	21567
492	21013	21610
493	21150	21664
494	21219	21648
495	21273	21616
496	21344	21602
497	21413	21585
498	21480	21566
499	21549	21549
500	21688	21602
501	21768	21595
502	21862	21602
503	21914	21567
504	21964	21529
505	22015	21493
506	22054	21445
507	22105	21409
508	22158	21375
509	22199	21328
510	22245	21287
511	22299	21253
512	22343	21211
513	22401	21180
514	22459	21151
515	22515	21119
516	22581	21096
517	22635	21062
518	22684	21023
519	22740	20990
520	22801	20963
521	22886	20956
522	22949	20931
523	23011	20903
524	23064	20867
525	23128	20842
526	23181	20805
527	23247	20782
528	23311	20755
529	23370	20724
530	23426	20690
531	23471	20647
532	23522	20609
533	23571	20569
534	23621	20530
535	23691	20509
536	23749	20476
537	23806	20443
538	23858	20405
539	23916	20372
540	23977	20343
541	24040	20314
542	24103	20285
543	24153	20246
544	24202	20206
545	24252	20166
546	24308	20131
547	24360	20092
548	24408	20051
549	24464	20016
550	24519	19980
551	24568	19939
552	24616	19897
553	24661	19853
554	24707	19810
555	24762	19774
556	24833	19750
557	24882	19710
558	24944	19679
559	24994	19638
560	25046	19599
561	25108	19568
562	25176	19541
563	25234	19507
564	25292	19472
565	25353	19440
566	25406	19402
567	25465	19367
568	25527	19336
569	25584	19300
570	25641	19264
571	25705	19234
572	25753	19191
573	25816	19159
574	25862	19115
575	25909	19072
576	25955	19027
577	25997	18980
578	26045	18938
579	26095	18896
580	26141	18852
581	26183	18805
582	26226	18758
583	26268	18711
584	26314	18667
585	26357	18621
586	26397	18572
587	26434	18522
588	26476	18475
589	26513	18424
590	26556	18378
591	26601	18333
592	26645	18287
593	26683	18238
594	26719	18187
595	26758	18138
596	26805	18094
597	26843	18045
598	26889	18001
599	26934	17956
600	26977	17909
601	27039	17876
602	27097	17840
603	27153	17802
604	27198	17757
605	27254	17719
606	27315	17685
607	27365	17643
608	27418	17603
609	27475	17566
610	27528	17526
611	27576	17483
612	27619	17436
613	27664	17391
614	27709	17346
615	27759	17304
616	27805	17259
617	27862	17222
618	27918	17184
619	27984	17151
620	28045	17116
621	28093	17073
622	28144	17031
623	28196	16990
624	28248	16948
625	28304	16910
626	28360	16871
627	28413	16830
