iter	MultiClass
0	1.041470514
1	0.9962466871
2	0.9587475532
3	0.9265973616
4	0.900265446
5	0.87838564
6	0.8584097439
7	0.8417423129
8	0.8259972403
9	0.8121227701
10	0.8014881617
11	0.7915433053
12	0.7832691396
13	0.774138034
14	0.7658698536
15	0.7597249048
16	0.7544800453
17	0.7489909301
18	0.7443046744
19	0.7407299189
20	0.7366778982
21	0.7334437713
22	0.7301187627
23	0.7273665618
24	0.7253503042
25	0.7226661463
26	0.7206146617
27	0.7183500451
28	0.7163823151
29	0.7147716681
30	0.7133815195
31	0.7119956095
32	0.7110818592
33	0.7098418889
34	0.7085026142
35	0.7072997059
36	0.7064012542
37	0.7054621039
38	0.7046870156
39	0.7041317495
40	0.7032217916
41	0.7024551313
42	0.701734842
43	0.7007626079
44	0.7002623988
45	0.6995281167
46	0.6985504049
47	0.6978883348
48	0.6969945679
49	0.6963185328
50	0.6959102949
51	0.6950500991
52	0.6946591783
53	0.6942881486
54	0.6936457361
55	0.6931814188
56	0.6926508608
57	0.6919312423
58	0.6914321084
59	0.690878651
60	0.6905949902
61	0.6900636446
62	0.6894257577
63	0.6888362708
64	0.6883284316
65	0.6878491012
66	0.6873306994
67	0.687010358
68	0.6865514615
69	0.6861755547
70	0.6859965104
71	0.6855730707
72	0.6848554482
73	0.6843453695
74	0.6837452727
75	0.6833744991
76	0.6829004784
77	0.6825443636
78	0.682209807
79	0.6817564997
80	0.6813730509
81	0.6808916048
82	0.6805760712
83	0.6800214347
84	0.679534839
85	0.6794106402
86	0.6787948766
87	0.6784836256
88	0.6781531093
89	0.6778510129
90	0.6773928942
91	0.6769464842
92	0.6765621697
93	0.6762106931
94	0.6757334317
95	0.6753902101
96	0.6750863392
97	0.6748107531
98	0.6745037267
99	0.6741984407
100	0.6737746876
101	0.6735478881
102	0.6729053717
103	0.6727141228
104	0.6724246764
105	0.6721627653
106	0.6718615397
107	0.6715356742
108	0.6709799433
109	0.6708107616
110	0.6704186755
111	0.6700239914
112	0.6696179475
113	0.6693471586
114	0.6689814723
115	0.6686242624
116	0.6684057412
117	0.6678724887
118	0.6675584229
119	0.6671378586
120	0.6669258083
121	0.6666518903
122	0.6664076501
123	0.6659073258
124	0.6654049389
125	0.6650303296
126	0.6648088117
127	0.6645297845
128	0.6640803048
129	0.6636829597
130	0.6634252162
131	0.6630305902
132	0.6625320507
133	0.6620199051
134	0.6617469178
135	0.6612290109
136	0.6608941592
137	0.660407135
138	0.6602067563
139	0.6598171701
140	0.6595148287
141	0.6592024403
142	0.6589475883
143	0.6587272166
144	0.658403927
145	0.6580066345
146	0.6575758238
147	0.6571475307
148	0.6568555285
149	0.656416483
150	0.6559687175
151	0.6555210964
152	0.6550225692
153	0.6546370926
154	0.6542578371
155	0.6540631483
156	0.6534432561
157	0.6529861031
158	0.6526354052
159	0.652347395
160	0.6521599887
161	0.6518419616
162	0.6515971289
163	0.6512912789
164	0.6510984975
165	0.6506300837
166	0.6502227906
167	0.6499541995
168	0.6496198978
169	0.6493567549
170	0.6491505328
171	0.6490133949
172	0.6487542073
173	0.6484676169
174	0.6481390781
175	0.6479153056
176	0.6476379756
177	0.6472794559
178	0.6469550329
179	0.6465900812
180	0.6463453826
181	0.6460883257
182	0.6459518555
183	0.6457258714
184	0.6454577829
185	0.6450603476
186	0.6448702471
187	0.6445460933
188	0.644370291
189	0.6440717705
190	0.6437741974
191	0.6436370809
192	0.6433691108
193	0.6430656599
194	0.6427247587
195	0.6425420226
196	0.6422467092
197	0.641950376
198	0.6417256623
199	0.6413764123
200	0.640947639
201	0.6404190503
202	0.6402528915
203	0.6400455011
204	0.6398158421
205	0.6394840895
206	0.6392370736
207	0.6390481103
208	0.6388131895
209	0.6385744866
210	0.6382589362
211	0.6380213394
212	0.637620255
213	0.6372545185
214	0.6370988385
215	0.63674733
216	0.6364516179
217	0.6361296733
218	0.6359119456
219	0.6355692995
220	0.635177022
221	0.6349859614
222	0.6346787798
223	0.634462002
224	0.6341347721
225	0.6338212425
226	0.6334548354
227	0.633204505
228	0.6330225406
229	0.6327497022
230	0.6325234676
231	0.6323259086
232	0.6321770177
233	0.6320902338
234	0.6318956109
235	0.6316673201
236	0.6314814743
237	0.6312178083
238	0.6308267753
239	0.6306171395
240	0.6303444601
241	0.6300814862
242	0.6298070424
243	0.62950605
244	0.6292966167
245	0.6290797132
246	0.6288178283
247	0.6285693971
248	0.6284693505
249	0.6282815302
250	0.6280963299
251	0.6277483587
252	0.6275459053
253	0.6273096941
254	0.6271354667
255	0.6268941755
256	0.6267642759
257	0.6266068606
258	0.6263653073
259	0.6262142322
260	0.6258798306
261	0.6256651442
262	0.6253171326
263	0.6250695453
264	0.6248630374
265	0.6246083018
266	0.6244672091
267	0.6243432811
268	0.6242282743
269	0.6239793886
270	0.6236798037
271	0.6233430034
272	0.6230376889
273	0.6225871227
274	0.6223691274
275	0.6221486747
276	0.6220165528
277	0.6217208561
278	0.6215668606
279	0.6211258733
280	0.6209648143
281	0.6205299339
282	0.6204268029
283	0.6201984162
284	0.6198634683
285	0.6195100655
286	0.6193638033
287	0.619216275
288	0.6189510097
289	0.6187416406
290	0.618486316
291	0.6183701979
292	0.6181233933
293	0.6179746011
294	0.6178518889
295	0.6176910063
296	0.6174134056
297	0.6172036015
298	0.6170462262
